"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2024-03-12"
"LICENSE.md" "b24ebbb41b14ca25cf6b8216dda83e5f" "site/built/LICENSE.md" "2024-03-12"
"config.yaml" "d70a39bf11232da91a00d4c3fbf243b3" "site/built/config.yaml" "2024-04-03"
"index.md" "a02c9c785ed98ddd84fe3d34ddb12fcd" "site/built/index.md" "2024-03-12"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2024-03-12"
"episodes/00-intro-prep-setup.md" "9c953c30d013b6f75429329226e41e33" "site/built/00-intro-prep-setup.md" "2024-04-04"
"episodes/01-digital-forensics-for-archives.md" "81b92bcf462c370cbf354c84e7949443" "site/built/01-digital-forensics-for-archives.md" "2024-04-03"
"episodes/02-getting-started-bit-curator.md" "599855f98566c606e00981af948f0fd8" "site/built/02-getting-started-bit-curator.md" "2024-04-04"
"episodes/03-imaging.md" "7cd59fa038085f514fd8f0cb2acdc58a" "site/built/03-imaging.md" "2024-04-04"
"episodes/04-reporting.md" "5e9d684b002db0d64a5a8b6c753acf3c" "site/built/04-reporting.md" "2024-04-03"
"instructors/instructor-notes.md" "cae72b6712578d74a49fea7513099f8c" "site/built/instructor-notes.md" "2024-03-12"
"learners/reference.md" "1c7cc4e229304d9806a13f69ca1b8ba4" "site/built/reference.md" "2024-03-12"
"learners/setup.md" "5456593e4a75491955ac4a252c05fbc9" "site/built/setup.md" "2024-03-12"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2024-03-12"
"renv/profiles/lesson-requirements/renv.lock" "86a2208421af1d8cb1575c75f026b44c" "site/built/renv.lock" "2024-03-12"
